                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.94063,                0.61739,                   1.65,                0.76928,                0.69552,                0.75073,                0.59464,                0.79973,                  0.493,                 1.7033,              0.0071538,              0.0071538,              0.0071538
                     48,                0.93942,                0.61815,                 1.6481,                0.76941,                0.69448,                0.75082,                0.59484,                0.79982,                0.49273,                 1.7025,              0.0070919,              0.0070919,              0.0070919
                     49,                0.93751,                0.61483,                 1.6525,                0.76903,                 0.6951,                0.75104,                0.59549,                0.79929,                0.49226,                 1.6993,                0.00703,                0.00703,                0.00703
                     50,                0.93526,                0.61197,                 1.6445,                0.76934,                0.69484,                0.75134,                0.59605,                0.79772,                0.49155,                 1.6964,              0.0069681,              0.0069681,              0.0069681
                     51,                0.93296,                0.61008,                 1.6393,                0.77066,                0.69469,                0.75274,                0.59737,                 0.7968,                0.49046,                 1.6939,              0.0069063,              0.0069063,              0.0069063
                     52,                 0.9294,                0.61067,                 1.6367,                0.77427,                 0.6938,                0.75315,                 0.5982,                0.79586,                0.49004,                 1.6909,              0.0068444,              0.0068444,              0.0068444
                     53,                0.92708,                0.60494,                 1.6328,                0.77476,                0.69333,                0.75304,                0.59851,                0.79511,                0.48963,                 1.6881,              0.0067825,              0.0067825,              0.0067825
                     54,                0.92684,                0.60781,                 1.6272,                0.77367,                0.69461,                0.75376,                0.59899,                0.79477,                0.48901,                 1.6872,              0.0067206,              0.0067206,              0.0067206
                     55,                0.92577,                0.60814,                 1.6293,                0.77353,                0.69606,                0.75472,                0.59974,                0.79417,                0.48853,                 1.6859,              0.0066587,              0.0066587,              0.0066587
                     56,                0.92119,                0.60333,                 1.6222,                0.76922,                0.69908,                0.75505,                 0.6006,                0.79362,                0.48806,                 1.6836,              0.0065969,              0.0065969,              0.0065969
                     57,                 0.9246,                0.60528,                 1.6294,                0.77311,                0.69852,                0.75586,                0.60121,                0.79312,                0.48771,                 1.6817,               0.006535,               0.006535,               0.006535
                     58,                0.92195,                0.60076,                 1.6274,                0.77505,                 0.6992,                0.75626,                0.60189,                0.79246,                0.48706,                  1.681,              0.0064731,              0.0064731,              0.0064731
                     59,                0.92447,                0.60358,                 1.6269,                0.77587,                0.69891,                0.75632,                0.60245,                0.79155,                0.48655,                 1.6792,              0.0064112,              0.0064112,              0.0064112
                     60,                0.91774,                 0.6008,                 1.6187,                0.77885,                0.69713,                0.75663,                0.60277,                0.79115,                0.48609,                 1.6784,              0.0063494,              0.0063494,              0.0063494
                     61,                0.91839,                0.59943,                 1.6156,                0.77788,                 0.6979,                0.75679,                0.60278,                0.79108,                0.48567,                 1.6776,              0.0062875,              0.0062875,              0.0062875
                     62,                0.91599,                0.59949,                 1.6212,                0.77959,                0.69753,                0.75678,                0.60306,                 0.7909,                0.48517,                 1.6766,              0.0062256,              0.0062256,              0.0062256
